ms,0°,1°,2°,3°,4°,5°,6°,7°,8°,9°,10°,11°,12°,13°,14°,15°,16°,17°,18°,19°,20°,21°,22°,23°,24°,25°,26°,27°,28°,29°,30°,31°,32°,33°,34°,35°,36°,37°,38°,39°,40°,41°,42°,43°,44°,45°
500,015.861,016.414,016.967,017.518,018.067,018.614,019.157,019.697,020.231,020.760,021.284,021.800,022.310,022.811,023.304,023.788,024.263,024.727,025.180,025.622,026.052,026.470,026.875,027.266,027.643,028.006,028.355,028.688,029.005,029.306,029.591,029.860,030.111,030.345,030.561,030.759,030.940,031.101,031.245,031.369,031.475,031.561,031.629,031.677,031.706,031.716
550,019.190,019.860,020.529,021.196,021.860,022.522,023.179,023.831,024.478,025.119,025.752,026.377,026.993,027.600,028.197,028.782,029.356,029.918,030.467,031.001,031.522,032.027,032.517,032.990,033.447,033.886,034.308,034.711,035.095,035.460,035.804,036.129,036.433,036.716,036.978,037.218,037.436,037.631,037.805,037.955,038.083,038.188,038.269,038.328,038.363,038.375
600,022.837,023.634,024.430,025.223,026.014,026.801,027.584,028.360,029.130,029.892,030.646,031.390,032.123,032.845,033.555,034.252,034.935,035.604,036.257,036.893,037.512,038.114,038.697,039.260,039.804,040.326,040.828,041.307,041.765,042.199,042.609,042.995,043.357,043.694,044.005,044.291,044.550,044.783,044.990,045.169,045.321,045.446,045.543,045.612,045.654,045.668
650,026.801,027.736,028.670,029.601,030.530,031.453,032.372,033.283,034.186,035.081,035.965,036.838,037.699,038.547,039.380,040.198,041.000,041.784,042.550,043.297,044.024,044.730,045.414,046.075,046.713,047.326,047.915,048.478,049.014,049.524,050.005,050.459,050.883,051.279,051.644,051.979,052.284,052.557,052.799,053.010,053.188,053.334,053.448,053.530,053.579,053.595
700,031.081,032.166,033.249,034.330,035.406,036.478,037.542,038.599,039.647,040.684,041.710,042.722,043.721,044.704,045.670,046.619,047.549,048.458,049.347,050.213,051.056,051.875,052.668,053.435,054.175,054.886,055.569,056.222,056.844,057.435,057.993,058.519,059.012,059.470,059.894,060.283,060.636,060.953,061.234,061.478,061.685,061.854,061.986,062.081,062.138,062.157
750,035.679,036.924,038.168,039.408,040.644,041.874,043.096,044.309,045.512,046.703,047.880,049.043,050.189,051.317,052.427,053.516,054.583,055.627,056.647,057.642,058.609,059.549,060.460,061.340,062.190,063.006,063.790,064.539,065.254,065.932,066.573,067.177,067.742,068.268,068.755,069.201,069.606,069.970,070.293,070.573,070.810,071.005,071.157,071.265,071.331,071.352
800,040.594,042.011,043.426,044.837,046.243,047.642,049.033,050.413,051.782,053.137,054.476,055.799,057.103,058.387,059.649,060.888,062.103,063.291,064.451,065.583,066.684,067.753,068.789,069.791,070.757,071.686,072.578,073.431,074.243,075.015,075.744,076.431,077.075,077.673,078.227,078.734,079.196,079.610,079.977,080.295,080.566,080.787,080.960,081.083,081.158,081.182
850,045.826,047.425,049.023,050.616,052.203,053.783,055.353,056.911,058.456,059.985,061.498,062.991,064.463,065.912,067.338,068.736,070.107,071.449,072.759,074.036,075.279,076.486,077.656,078.786,079.877,080.926,081.933,082.895,083.813,084.684,085.508,086.283,087.009,087.685,088.310,088.883,089.404,089.871,090.285,090.645,090.950,091.200,091.395,091.535,091.618,091.646
900,051.375,053.168,054.959,056.745,058.525,060.296,062.056,063.803,065.535,067.249,068.945,070.619,072.269,073.894,075.492,077.060,078.597,080.101,081.569,083.001,084.395,085.748,087.059,088.327,089.550,090.727,091.855,092.934,093.962,094.939,095.862,096.732,097.546,098.304,099.004,099.647,100.230,100.755,101.219,101.622,101.964,102.245,102.463,102.620,102.713,102.745
950,057.242,059.239,061.234,063.224,065.207,067.180,069.142,071.088,073.018,074.928,076.817,078.682,080.521,082.332,084.112,085.859,087.572,089.247,090.884,092.479,094.032,095.540,097.001,098.413,099.776,101.087,102.344,103.546,104.692,105.780,106.809,107.778,108.685,109.529,110.309,111.025,111.676,112.260,112.777,113.226,113.608,113.920,114.164,114.338,114.442,114.477
1000,063.425,065.638,067.849,070.054,072.251,074.438,076.610,078.767,080.906,083.022,085.115,087.182,089.220,091.226,093.198,095.134,097.032,098.888,100.702,102.469,104.190,105.860,107.479,109.045,110.554,112.007,113.400,114.732,116.002,117.207,118.347,119.420,120.425,121.361,122.226,123.019,123.740,124.387,124.960,125.458,125.880,126.227,126.496,126.689,126.805,126.844
1050,069.925,072.366,074.803,077.234,079.656,082.067,084.462,086.840,089.198,091.532,093.839,096.118,098.364,100.576,102.750,104.885,106.977,109.024,111.023,112.972,114.869,116.710,118.495,120.221,121.886,123.487,125.023,126.491,127.891,129.220,130.477,131.660,132.768,133.800,134.753,135.628,136.423,137.136,137.768,138.317,138.782,139.164,139.462,139.674,139.802,139.845
1100,076.743,079.421,082.096,084.764,087.423,090.068,092.697,095.307,097.894,100.456,102.988,105.489,107.955,110.382,112.769,115.111,117.407,119.654,121.848,123.987,126.068,128.090,130.049,131.943,133.769,135.527,137.212,138.824,140.361,141.819,143.199,144.497,145.713,146.845,147.892,148.852,149.724,150.507,151.200,151.803,152.314,152.733,153.059,153.293,153.433,153.480
1150,083.878,086.805,089.728,092.644,095.550,098.442,101.315,104.168,106.996,109.795,112.563,115.296,117.991,120.644,123.253,125.813,128.323,130.778,133.176,135.514,137.789,139.998,142.139,144.210,146.206,148.127,149.969,151.731,153.410,155.004,156.512,157.932,159.261,160.498,161.642,162.691,163.644,164.500,165.258,165.916,166.475,166.933,167.289,167.545,167.698,167.749
1200,091.329,094.516,097.700,100.875,104.039,107.187,110.316,113.422,116.501,119.550,122.564,125.539,128.474,131.363,134.203,136.991,139.723,142.396,145.008,147.553,150.031,152.436,154.768,157.022,159.196,161.287,163.293,165.211,167.039,168.776,170.417,171.963,173.410,174.757,176.003,177.145,178.183,179.115,179.940,180.657,181.265,181.764,182.152,182.430,182.597,182.652
1250,099.098,102.556,106.010,109.456,112.889,116.305,119.700,123.071,126.411,129.719,132.989,136.219,139.402,142.537,145.619,148.644,151.609,154.510,157.343,160.105,162.793,165.403,167.933,170.379,172.738,175.007,177.183,179.265,181.249,183.133,184.914,186.591,188.161,189.623,190.974,192.214,193.340,194.351,195.246,196.025,196.684,197.226,197.647,197.949,198.130,198.190
